advertiser_combination,campaign_id_combination,campaign_name_combination,advertiser_count,unique_users
"[""Marca Gama""]","[""3001""]","[""Gama | Always On""]",1,113183
"[""Marca Alpha""]","[""1001"", ""1002""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing""]",1,104969
"[""Marca Beta""]","[""2001"", ""2002""]","[""Beta | Lançamento"", ""Beta | Prospecting""]",1,80512
"[""Marca Alpha""]","[""1001""]","[""Alpha | Awareness | Q3""]",1,69375
"[""Marca Alpha""]","[""1002""]","[""Alpha | Remarketing""]",1,69338
"[""Marca Épsilon""]","[""5001""]","[""Épsilon | Awareness""]",1,61568
"[""Marca Beta""]","[""2001""]","[""Beta | Prospecting""]",1,56018
"[""Marca Delta""]","[""4001"", ""4002""]","[""Delta | Black Friday"", ""Delta | Retargeting""]",1,54871
"[""Marca Beta""]","[""2002""]","[""Beta | Lançamento""]",1,54501
"[""Marca Delta""]","[""4002""]","[""Delta | Retargeting""]",1,38073
"[""Marca Delta""]","[""4001""]","[""Delta | Black Friday""]",1,36889
"[""Marca Zeta""]","[""6001""]","[""Zeta | Performance""]",1,36889
"[""Marca Alpha"", ""Marca Beta""]","[""1001"", ""1002"", ""2001"", ""2002""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting""]",2,19203
"[""Marca Delta"", ""Marca Gama""]","[""3001"", ""4001"", ""4002""]","[""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On""]",2,15355
"[""Marca Alpha"", ""Marca Beta""]","[""1001"", ""2001"", ""2002""]","[""Alpha | Awareness | Q3"", ""Beta | Lançamento"", ""Beta | Prospecting""]",2,13690
"[""Marca Alpha"", ""Marca Beta""]","[""1002"", ""2001"", ""2002""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting""]",2,12839
"[""Marca Alpha"", ""Marca Beta""]","[""1001"", ""1002"", ""2002""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento""]",2,12432
