amc_template_name,start_date,end_date,path,path_occurrences,impressions,total_cost,users_that_purchased,sales_amount,purchases,user_purchase_rate,ntb_users_that_purchased,ntb_sales_amount,ntb_purchases,ntb_user_percentage,ntb_purchases_percentage,insight1,insight2
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração]]",52445,274812,3422.5362003014657,81,11047.4232,100,0.0015,43,5894.3292,53,0.5309,0.53,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD]]",14821,297108,2122.966414921459,19,3722.5034,20,0.0013,11,2107.9560,11,0.5789,0.55,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão]]",13817,199152,2708.5510504294066,26,3827.9255,28,0.0019,11,1662.5684,12,0.4231,0.4286,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB SOV]]",13767,151654,1916.3426466879362,16,2427.2724,19,0.0012,7,1097.5787,9,0.4375,0.4737,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness]]",5077,34751,199.62097585402574,5,1307.5298,6,0.001,3,903.7266,4,0.6,0.6667,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB]]",4812,78639,842.7476157025887,11,1526.9124,11,0.0023,9,1295.5194,9,0.8182,0.8182,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB]]",4479,25581,485.52715707319396,4,551.2435,4,0.0009,2,320.7693,2,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP]]",4096,54501,776.3486139728492,13,2992.7329,15,0.0032,4,1021.1869,5,0.3077,0.3333,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Consideração], [3, SP], [4, DSP Conversão]]",2713,61322,719.7376914141183,40,7866.2005,55,0.0147,23,4455.7435,31,0.575,0.5636,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Consideração]]",2086,55106,971.3860076705867,8,993.4692,10,0.0038,4,487.4838,5,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP]]",1356,18554,205.29382962633153,10,1145.6882,12,0.0074,3,391.1658,4,0.3,0.3333,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP Awareness], [3, DSP Consideração], [4, SB]]",1058,51456,980.1127630439202,17,2637.8854,21,0.0161,10,1553.5566,12,0.5882,0.5714,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SD], [3, DSP Conversão]]",772,29942,406.6403636613215,3,385.0481,3,0.0039,1,175.3326,1,0.3333,0.3333,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP], [3, DSP Awareness], [4, SD], [5, SB], [6, DSP NTB]]",637,19408,124.31065296891526,21,4170.9645,22,0.033,12,2346.8837,12,0.5714,0.5455,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Conversão], [3, SD], [4, SP], [5, SB SOV], [6, DSP Awareness], [7, DSP Consideração], [8, DSP NTB]]",414,65459,1213.3443643961516,12,1452.4090,16,0.029,7,790.4828,9,0.5833,0.5625,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP NTB], [3, DSP Awareness], [4, SB], [5, SP]]",393,34217,528.9990975906951,13,2399.3882,16,0.0331,8,1427.1792,10,0.6154,0.625,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, DSP Conversão], [3, SP], [4, SB SOV], [5, SB], [6, DSP NTB], [7, DSP Awareness]]",291,23731,151.98528358189054,15,1390.8620,15,0.0515,8,770.9447,8,0.5333,0.5333,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Awareness], [3, SP], [4, SB]]",258,20746,236.43569115212463,4,951.9898,5,0.0155,3,649.5773,3,0.75,0.6,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, DSP Conversão], [4, SP], [5, SD], [6, DSP NTB], [7, DSP Consideração]]",247,9518,95.69394207446963,12,1639.3904,14,0.0486,7,926.3670,8,0.5833,0.5714,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SP], [3, DSP NTB]]",231,6847,29.025901053089267,3,400.8616,3,0.013,2,271.5415,2,0.6667,0.6667,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB SOV], [2, DSP Conversão], [3, DSP NTB], [4, SB], [5, SP], [6, SD], [7, DSP Consideração], [8, DSP Awareness]]",210,25676,403.0002233744498,12,1844.3669,16,0.0571,6,889.9896,8,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB SOV], [3, DSP NTB], [4, DSP Awareness], [5, SD], [6, SB], [7, SP]]",203,8153,48.05158764763488,12,2809.3832,16,0.0591,6,1296.5891,7,0.5,0.4375,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP NTB], [3, SD], [4, SP], [5, DSP Awareness]]",203,18744,232.89023484432082,5,1047.6298,6,0.0246,3,685.2640,4,0.6,0.6667,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness], [3, DSP NTB], [4, SB], [5, SP]]",193,11456,115.38746765383064,5,998.7043,6,0.0259,2,477.3339,3,0.4,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Conversão], [3, SP]]",182,4749,56.610697761837734,2,357.6907,2,0.011,1,189.9554,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, SD], [4, DSP NTB], [5, SP], [6, DSP Conversão]]",179,7277,51.242983214431256,8,1347.4247,10,0.0447,4,655.8365,5,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Awareness], [3, DSP Consideração], [4, DSP Conversão], [5, SD], [6, SP], [7, SB]]",170,20179,177.6361741115282,7,1123.7769,8,0.0412,4,626.4198,4,0.5714,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP NTB], [3, SD], [4, SP]]",167,6306,58.39936169075934,3,310.9586,3,0.018,2,189.8793,2,0.6667,0.6667,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP], [3, SD], [4, DSP Conversão], [5, SB], [6, DSP Awareness]]",166,13107,189.4789902094602,5,1013.9080,6,0.0301,3,559.0167,3,0.6,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Conversão], [3, DSP Awareness], [4, DSP NTB], [5, SD], [6, SB SOV], [7, SP]]",165,16388,295.19499711727474,5,765.2649,5,0.0303,3,443.9341,3,0.6,0.6,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB SOV], [2, SP]]",153,3933,72.73898929662236,1,102.9939,1,0.0065,0,46.6534,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP NTB], [3, DSP Awareness], [4, SD], [5, SB], [6, DSP Conversão], [7, DSP Consideração]]",149,16348,69.72820909101291,5,687.2049,5,0.0336,2,328.2659,2,0.4,0.4,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, DSP Conversão], [3, SD], [4, DSP NTB], [5, SP], [6, SB SOV], [7, SB], [8, DSP Awareness]]",140,10348,141.21852890196533,5,628.5519,5,0.0357,3,318.2180,3,0.6,0.6,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Conversão], [3, DSP Awareness], [4, SP]]",139,5049,59.24638055062294,1,172.6350,1,0.0072,0,81.9402,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SD]]",131,2436,37.77528665840562,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, SB], [3, SP], [4, DSP Conversão], [5, SD], [6, DSP NTB], [7, DSP Awareness]]",130,7244,76.6047397730511,3,547.2470,3,0.0231,2,279.5592,2,0.6667,0.6667,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Awareness], [3, SP], [4, SB], [5, SD]]",128,8268,119.96458504989302,2,416.5861,2,0.0156,1,277.5130,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness], [3, SD], [4, DSP NTB], [5, SP], [6, SB]]",127,10053,106.91141570898611,5,1291.7402,6,0.0394,3,688.0087,3,0.6,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP NTB], [3, DSP Awareness], [4, SD], [5, DSP Conversão]]",123,9441,96.55128580404286,2,271.1629,2,0.0163,1,163.1244,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB SOV], [2, SB]]",114,3012,47.05267059904237,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, SP], [4, DSP Conversão], [5, DSP NTB], [6, SD]]",110,11498,52.83058654806792,4,795.0853,4,0.0364,2,468.1962,2,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SP], [3, SD], [4, DSP Conversão], [5, DSP Consideração]]",108,9814,166.91748856910033,3,310.8841,3,0.0278,2,168.9411,2,0.6667,0.6667,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB], [3, SP]]",105,4874,37.724918064530875,1,140.9349,1,0.0095,0,65.3503,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP NTB]]",101,1911,33.601655182477295,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP]]",97,2650,37.098327178359376,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB], [3, DSP Conversão], [4, DSP Awareness], [5, SP], [6, DSP NTB]]",94,9689,54.63321693482159,2,184.3670,2,0.0213,1,94.1247,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão], [3, SB]]",81,1127,20.38534630745986,1,126.3340,1,0.0123,0,46.8414,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão], [3, DSP Awareness]]",78,1596,20.159807504634806,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, SD]]",78,2934,51.4937720956245,0,0.0000,0,0.0,0,0.0000,0,,,,
